threshold,precision,recall,f1,auc,accuracy
0.2,0.76,0.88,0.81,0.85,0.78
0.25,0.77,0.87,0.82,0.85,0.78
0.3,0.77,0.86,0.82,0.85,0.78
0.35,0.77,0.85,0.81,0.85,0.78
0.4,0.78,0.84,0.81,0.85,0.78
0.45,0.78,0.84,0.81,0.85,0.78
0.5,0.79,0.84,0.81,0.85,0.78
0.55,0.79,0.84,0.81,0.85,0.78
0.6,0.79,0.84,0.81,0.85,0.78
0.65,0.79,0.84,0.81,0.85,0.78
0.7,0.78,0.83,0.81,0.85,0.78
0.75,0.79,0.83,0.81,0.85,0.78
0.8,0.8,0.78,0.79,0.85,0.77
