threshold,precision,recall,f1,auc,accuracy
0.2,0.75,0.85,0.79,0.83,0.76
0.25,0.75,0.85,0.8,0.83,0.76
0.3,0.75,0.85,0.8,0.83,0.76
0.35,0.75,0.84,0.79,0.83,0.76
0.4,0.75,0.83,0.79,0.83,0.76
0.45,0.76,0.83,0.79,0.83,0.76
0.5,0.76,0.83,0.79,0.83,0.76
0.55,0.77,0.82,0.79,0.83,0.76
0.6,0.77,0.82,0.79,0.83,0.76
0.65,0.76,0.8,0.78,0.83,0.75
0.7,0.77,0.79,0.78,0.83,0.76
0.75,0.79,0.77,0.78,0.83,0.76
0.8,0.8,0.77,0.79,0.83,0.77
