threshold,precision,recall,f1,auc,accuracy
0.2,0.73,0.93,0.82,0.86,0.77
0.25,0.75,0.93,0.83,0.86,0.79
0.3,0.75,0.91,0.82,0.86,0.78
0.35,0.76,0.9,0.83,0.86,0.79
0.4,0.77,0.89,0.83,0.86,0.79
0.45,0.79,0.88,0.83,0.86,0.8
0.5,0.79,0.85,0.82,0.86,0.79
0.55,0.8,0.84,0.82,0.86,0.79
0.6,0.81,0.81,0.81,0.86,0.79
0.65,0.82,0.8,0.81,0.86,0.79
0.7,0.83,0.76,0.79,0.86,0.78
0.75,0.83,0.71,0.76,0.86,0.76
0.8,0.83,0.67,0.74,0.86,0.74
