threshold,precision,recall,f1,auc,accuracy
0.2,0.75,0.95,0.84,0.89,0.79
0.25,0.78,0.91,0.84,0.89,0.81
0.3,0.79,0.89,0.84,0.89,0.81
0.35,0.81,0.87,0.84,0.89,0.81
0.4,0.81,0.83,0.82,0.89,0.8
0.45,0.82,0.81,0.81,0.89,0.79
0.5,0.82,0.77,0.79,0.89,0.78
0.55,0.83,0.77,0.8,0.89,0.78
0.6,0.84,0.77,0.8,0.89,0.79
0.65,0.84,0.75,0.79,0.89,0.78
0.7,0.84,0.73,0.78,0.89,0.77
0.75,0.84,0.72,0.77,0.89,0.77
0.8,0.84,0.72,0.77,0.89,0.77
