threshold,precision,recall,f1,auc,accuracy
0.2,0.72,0.91,0.8,0.8,0.75
0.25,0.72,0.89,0.79,0.8,0.74
0.3,0.75,0.86,0.8,0.8,0.76
0.35,0.76,0.86,0.81,0.8,0.77
0.4,0.76,0.84,0.8,0.8,0.76
0.45,0.75,0.8,0.78,0.8,0.74
0.5,0.75,0.8,0.78,0.8,0.74
0.55,0.75,0.76,0.76,0.8,0.73
0.6,0.77,0.73,0.75,0.8,0.73
0.65,0.76,0.68,0.72,0.8,0.71
0.7,0.76,0.65,0.7,0.8,0.69
0.75,0.78,0.62,0.69,0.8,0.69
0.8,0.79,0.61,0.69,0.8,0.69
